id,business_category,product_name,product_number,product_type,product_trigram,prerequisite,available_pricing,default_support_level,ext_enterprise_user,remote_access,licensing_structure,withdrawn_after,portfolio_type,portfolio_product,included_product_numbers,included_item_names,ds_offerings
2888,V5,DELMIA - General Assembly Planning & Simulation Bundle,5CB-GSUB,Package,GSUB,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2121,V5,CATIA - CIRCUIT BOARD DESIGN 1 Product,5CP-CBD,Shareable,CBD,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2377,V5,CATIA - SYSTEMS ROUTING 1 Product,5AP-SRT,Add-On,SRT,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2633,V5,DELMIA - DPM Body In White GT 2 Configuration,5CC-BG2,Configuration,BG2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2889,V5,DELMIA - Human Work Analysis,5AP-HAU,Add-On,HAU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2122,V5,CATIA - CIRCUIT BOARD DESIGN 1 Product,5AP-CBD,Add-On,CBD,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2378,V5,CATIA - SYSTEMS ROUTING 1 Product,5CP-SRT,Shareable,SRT,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2634,V5,DELMIA - DPM Body In White 2 Configuration,5CC-BP2,Configuration,BP2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2890,V5,DELMIA - Human Work Analysis,5CP-HAU,Shareable,HAU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2123,V5,CATIA - CADAM INTERFACE 1 Product,5CP-CC1,Shareable,CC1,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2379,V5,CATIA - SYSTEMS SPACE RESERVATION 2 Product,5AP-SSR,Add-On,SSR,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2635,V5,DELMIA - DPM Fastening Process Planner 2 Product,5AP-BWP,Add-On,BWP,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2891,V5,DELMIA - Human Catalogs,5AP-HCU,Add-On,HCU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2124,V5,CATIA - CADAM INTERFACE 1 Product,5AP-CC1,Add-On,CC1,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2380,V5,CATIA - SYSTEMS SPACE RESERVATION 2 Product,5CP-SSR,Shareable,SSR,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2636,V5,DELMIA - DPM Body In White XT 2 Configuration,5CC-BX2,Configuration,BX2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2892,V5,DELMIA - Human Catalogs,5CP-HCU,Shareable,HCU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2125,V5,CATIA - CADAM DRAFTING for V5 Product,5AP-CCD,Single Add-On,CCD,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2381,V5,CATIA - STEP CORE INTERFACE 1 Product,5CP-ST1,Shareable,ST1,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2637,V5,DELMIA - Controlled Workcell Builder 2 Configuration,5CC-CB2,Configuration,CB2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2893,V5,DELMIA - Hyundai Robot Library & OLP,5CP-HRU,Shareable,HRU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2126,V5,CATIA - CADAM DRAFTING for V5 Product,5CP-CCD,Shareable,CCD,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2382,V5,CATIA - STEP CORE INTERFACE 1 Product,5AP-ST1,Add-On,ST1,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2638,V5,DELMIA - Controlled Workcell Validation 2 Configuration,5CC-CW2,Configuration,CW2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2894,V5,DELMIA - Hyundai Robot Library & OLP,5AP-HRU,Add-On,HRU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2127,V5,CATIA - COMPOSITES FORMING PART 2 Product,5AP-CCF,Add-On,CCF,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2383,V5,CATIA - STRIM/STYLER TO CATIA INTERFACE 2 Product,5CP-STC,Shareable,STC,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2639,V5,DELMIA - Device Building 2 Product,5CP-DBG,Shareable,DBG,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2895,V5,DELMIA - Human Workspace Simulation Configuration,5CC-HSU,Configuration,HSU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2128,V5,CATIA - COMPOSITES FORMING PART 2 Product,5CP-CCF,Shareable,CCF,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2384,V5,CATIA - STRIM/STYLER TO CATIA INTERFACE 2 Product,5AP-STC,Add-On,STC,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2640,V5,DELMIA - Device Building 2 Product,5AP-DBG,Add-On,DBG,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2896,V5,DELMIA - Human Work Analysis Bundle,5CB-HWAB,Package,HWAB,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2129,V5,CATIA - COMPOSITES LINK 2 Product,5CP-CCL,Shareable,CCL,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2385,V5,CATIA - STL RAPID PROTOTYPING 2 Product,5CP-STL,Shareable,STL,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2641,V5,DELMIA Automation - CSM Device Control Connection 1 Product,5AP-DC1,Add-On,DC1,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2897,V5,DELMIA - Human Workplace Simulation,5CB-HWSB,Package,HWSB,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2130,V5,CATIA - COMPOSITES LINK 2 Product,5AP-CCL,Add-On,CCL,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2386,V5,CATIA - STL RAPID PROTOTYPING 2 Product,5AP-STL,Add-On,STL,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2642,V5,DELMIA - Digital Numerical Control Connector,5AP-DCC,Single Add-On,DCC,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2898,V5,DELMIA - Kuka Robot Library & OLP,5AP-KRU,Add-On,KRU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2131,V5,CATIA - CORE & CAVITY DESIGN 2 Product,5AP-CCV,Add-On,CCV,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2387,V5,CATIA - EXTENDED STEP INTERFACE 2 Product,5AP-SXT,Add-On,SXT,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2643,V5,DELMIA - DPM Human Review 2,5AP-DHR,Add-On,DHR,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
